generic_name,brand_names,substance,drug_class,product_type
CLOBETASOL PROPIONATE,Clobetasol Propionate,CLOBETASOL PROPIONATE,Unknown,HUMAN PRESCRIPTION DRUG
ADVANCED DEEP CEDAR AND LAVENDER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,Unknown,HUMAN PRESCRIPTION DRUG
OATMEAL,Aveeno Baby Eczema Therapy Nighttime Balm,OATMEAL,Unknown,HUMAN OTC DRUG
ADVANCED ICED EUCALYPTUS DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
BACLOFEN,BACLOFEN,BACLOFEN,Unknown,HUMAN PRESCRIPTION DRUG
ADVANCED ICY MINT DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
CLONAZEPAM,Clonazepam,CLONAZEPAM,Unknown,HUMAN PRESCRIPTION DRUG
CLONAZEPAM,Clonazepam,CLONAZEPAM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ACETAMINOPHEN,Pharbetol,ACETAMINOPHEN,Unknown,HUMAN OTC DRUG
NATURAL FIBER SUPPLEMENT,CVS Health,PSYLLIUM HUSK,Unknown,HUMAN OTC DRUG
ACETAMINOPHEN AND IBUPROFEN,Acetaminophen and Ibuprofen,ACETAMINOPHEN|IBUPROFEN,Unknown,HUMAN OTC DRUG
"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE, AND DOXYLAMINE SUCCINATE",Vicks DayQuil and Vicks NyQuil Cold and Flu,,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
ALCOHOL,FOOTSPA PEDI,ALCOHOL,Unknown,HUMAN OTC DRUG
DOXYCYCLINE,Doxycycline,DOXYCYCLINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, GUAIFENESIN, PHENYLEPHRINE HCL",Mucus Relief Cold Flu Sore Throat Maximum Strength,ACETAMINOPHEN|DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN|PHENYLEPHRINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
SALICYLIC ACID,Vichy Laboratoires Normaderm Acne Control Moisturizer,SALICYLIC ACID,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Unknown,HUMAN PRESCRIPTION DRUG
"APIS MELLIFICA, ARSENICUM ALBUM, BELLADONNA, CHAMOMILLA, ECHINACEA (ANGUSTIFOLIA), LACHESIS MUTUS, MERCURIUS SOLUBILIS, PULSATILLA (PRATENSIS), PYROGENIUM, RHUS TOX, SILICEA",B HP,APIS MELLIFERA|ARSENIC TRIOXIDE|ATROPA BELLADONNA|ECHINACEA ANGUSTIFOLIA WHOLE|LACHESIS MUTA VENOM|MATRICARIA CHAMOMILLA WHOLE|MERCURIUS SOLUBILIS|PULSATILLA PRATENSIS WHOLE|RANCID BEEF|SILICON DIOXIDE|TOXICODENDRON PUBESCENS LEAF,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
"MOXIFLOXACIN HYDROCHLORIDE TABLETS, 400 MG","Moxifloxacin Hydrochloride Tablets, 400 mg",MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,Unknown,HUMAN PRESCRIPTION DRUG
VASOPRESSIN,VASOPRESSIN,VASOPRESSIN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
AMITRIPTYLINE HYDROCHLORIDE,Amitriptyline Hydrochloride,AMITRIPTYLINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
PSYLLIUM HUSK,Unflavored Organic Natural Fiber,PSYLLIUM HUSK,Unknown,HUMAN OTC DRUG
MOLYBDENUM MURIATICUM,Molybdenum Muriaticum,MOLYBDENUM TRICHLORIDE,Unknown,HUMAN OTC DRUG
BENZALKONIUM CHLORIDE,Swisher,BENZALKONIUM CHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
AZELASTINE HYDROCHLORIDE,Azelastine Hydrochloride,AZELASTINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ISOPROPYL ALCOHOL,Isopropyl Rubbing Alcohol,ISOPROPYL ALCOHOL,Unknown,HUMAN OTC DRUG
DIPHENHYDRAMINE HYDROCHLORIDE,Diphenhydramine Hydrochloride,DIPHENHYDRAMINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"TITANIUM DIOXIDE, ZINC OXIDE",Dermaroller Anhydrous Sunscreen SPF 30,TITANIUM DIOXIDE|ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
RABEPRAZOLE SODIUM,Rabeprazole sodium,RABEPRAZOLE SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
ANTICAVITY MOUTHWASH,Ortho Super Chocolate Fluoride Mouthwash,SODIUM FLUORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
POVIDONE-IODINE,MediChoice PVP,POVIDONE-IODINE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
WITCH HAZEL,Witch Hazel,WITCH HAZEL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYMOL",Antispetic,EUCALYPTOL|MENTHOL|METHYL SALICYLATE|THYMOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
BUDESONIDE,Budesonide,BUDESONIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
OLMESARTAN MEDOXOMIL,Olmesartan Medoxomil,OLMESARTAN MEDOXOMIL,Unknown,HUMAN PRESCRIPTION DRUG
EPINEPHRINE,Epinephrine,EPINEPHRINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
TRETINOIN,Tretinoin,TRETINOIN,Unknown,HUMAN PRESCRIPTION DRUG
DIETHYLPROPION HYDROCHLORIDE,Diethylpropion Hydrochloride ER,DIETHYLPROPION HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
THEOPHYLLINE ANHYDROUS,Theophylline (Anhydrous),THEOPHYLLINE ANHYDROUS,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
NICOTINE POLACRILEX,equate nicotine,NICOTINE,Unknown,HUMAN OTC DRUG
"ACETAMINOPHEN, ASPIRIN, CAFFEINE",Headache Relief Extra Strength,ACETAMINOPHEN|ASPIRIN|CAFFEINE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
FEBUXOSTAT,Febuxostat,FEBUXOSTAT,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",DayTime Cold/Flu Relief,ACETAMINOPHEN|DEXTROMETHORPHAN HYDROBROMIDE|PHENYLEPHRINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE AND OXYBENZONE",Kiehls Since 1851 Activated Sun Protector Broad Spectrum SPF 50 Sunscreen Water Resistant 80 MInutes,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE|OXYBENZONE,Unknown,HUMAN OTC DRUG
ETHYL ALCOHOL 70%,Hand sanitizer 2oz 2pk with aloe vera,ALCOHOL,Unknown,HUMAN OTC DRUG
ETHYL ALCOHOL 70%,Hand sanitizer 2oz 2pk lemon,ALCOHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
ETHYL ALCOHOL 70%,Hand sanitizer 2oz 2pk lemon,ALCOHOL,Unknown,HUMAN OTC DRUG
"NEOMYCIN SULFATE, POLYMYXIN B SULFATE, HYDROCORTISONE",Neomycin and Polymyxin B Sulfates and Hydrocortisone,HYDROCORTISONE|NEOMYCIN SULFATE|POLYMYXIN B SULFATE,Unknown,HUMAN PRESCRIPTION DRUG
ETHYL ALCOHOL 70%,Hand sanitizer 2oz 2pk with aloe vera,ALCOHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
TIZANIDNE HYDROCHLORIDE,Tizanidne hydrochloride,TIZANIDINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
VIGABATRIN,Vigabatrin,VIGABATRIN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
SEVELAMER HYDROCHLORIDE,sevelamer hydrochloride,SEVELAMER HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
SILDENAFIL,Sildenafil Citrate,SILDENAFIL CITRATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
ESTRADIOL,Estradiol,ESTRADIOL,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE 10 MG,CETIRIZINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
PANTOPRAZOLE SODIUM DELAYED-RELEASE,Pantoprazole sodium delayed-release,PANTOPRAZOLE SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
"ANAS BARBARIAE, HEPATIS ET CORDIS EXTRACTUM, AZADIRACHTA INDICA, BAPTISIA TINCTORIA, BRYONIA (ALBA), CROTALUS HORRIDUS, ECHINACEA (ANGUSTIFOLIA), EUPATORIUM PERFOLIATUM, FERRUM PHOSPHORICUM, GELSEMIUM SEMPERVIRENS, GINKGO BILOBA, INFLUENZINUM, MUCOSA NASALIS SUIS, PHYTOLACCA DECANDRA, PINUS SYLVESTRIS, PYROGENIUM, SELENIUM METALLICUM, STILLINGIA SYLVATICA",Flu-Tone,AZADIRACHTA INDICA BARK|BAPTISIA TINCTORIA ROOT|BRYONIA ALBA ROOT|CAIRINA MOSCHATA HEART/LIVER AUTOLYSATE|CROTALUS HORRIDUS HORRIDUS VENOM|ECHINACEA ANGUSTIFOLIA|EUPATORIUM PERFOLIATUM FLOWERING TOP|FERRUM PHOSPHORICUM|GELSEMIUM SEMPERVIRENS ROOT|GINKGO|INFLUENZA A VIRUS A/SINGAPORE/GP1908/2015 IVR-180 (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED)|INFLUENZA A VIRUS A/SINGAPORE/INFIMH-16-0019/2016 NIB-104 (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED)|INFLUENZA B VIRUS B/MARYLAND/15/2016 ANTIGEN (FORMALDEHYDE INACTIVATED)|INFLUENZA B VIRUS B/PHUKET/3073/2013 ANTIGEN (FORMALDEHYDE INACTIVATED)|PHYTOLACCA AMERICANA ROOT|PINUS SYLVESTRIS LEAFY TWIG|RANCID BEEF|SELENIUM|STILLINGIA SYLVATICA ROOT|SUS SCROFA NASAL MUCOSA,Unknown,HUMAN OTC DRUG
"TITANIUM DIOXIDE, ZINC OXIDE",Broad Spectrum Water Resistant SPF 50 Mineral Sunscreen Babies,TITANIUM DIOXIDE|ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
LORATADINE AND PSEUDOEPHEDRINE SULFATE,Loratadine and Pseudoephedrine Sulfate,LORATADINE|PSEUDOEPHEDRINE SULFATE,Unknown,HUMAN OTC DRUG
DOXYLAMINE SUCCINATE,NIGHTTIME SLEEP AID,DOXYLAMINE SUCCINATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"NEOMYCIN SULFATE, POLYMYXIN B SULFATE, AND PRAMOXINE HYDROCHLORIDE",Antibiotic and Pain Relief,NEOMYCIN SULFATE|POLYMYXIN B SULFATE|PRAMOXINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",Neutrogena Age Shield Face Oil Free Sunscreen Broad Spectrum SPF 70,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
PHENOL,Pain Relieving Petro Carbo,PHENOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
"TAVABOROLE TOPICAL SOLUTION, 5%",Tavaborole,TAVABOROLE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
UREA,UREA 40%,UREA,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
"ZINC OXIDE, TITANIUM DIOXIDE",Sunscreen-Lotion,TITANIUM DIOXIDE|ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
LISINOPRIL,Lisinopril,LISINOPRIL,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ROSUVASTATIN CALCIUM,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
RIZATRIPTAN BENZOATE,Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,Unknown,HUMAN PRESCRIPTION DRUG
"PAREIRA BRAVA, PETROSELINUM SATIVUM, SARSAPARILLA (SMILAX REGELII), KIDNEY (SUIS), BRYONIA (ALBA), MERCURIUS CORROSIVUS, RUBIA TINCTORUM, SOLIDAGO VIRGAUREA, TRITICUM REPENS",Renapar,BRYONIA ALBA ROOT|CHONDRODENDRON TOMENTOSUM ROOT|ELYMUS REPENS ROOT|MERCURIC CHLORIDE|PETROSELINUM CRISPUM WHOLE|PORK KIDNEY|RUBIA TINCTORUM ROOT|SMILAX ORNATA ROOT|SOLIDAGO VIRGAUREA FLOWERING TOP,Unknown,HUMAN OTC DRUG
HYDROCHLOROTHIAZIDE,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
PANTOPRAZOLE SODIUM DR,Pantoprazole Sodium DR,PANTOPRAZOLE SODIUM,Unknown,HUMAN PRESCRIPTION DRUG
ADVANCED COCONUT RUSH DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
DOXYCYCLINE HYCLATE,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
DONEPEZIL HYDROCHLORIDE,Donepezil Hydrochloride,DONEPEZIL HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED SAGE AND OCEAN MIST DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED EXTREME DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
"AESCULUS HIPPOCASTANUM, COLLINSONIA CANADENSIS, ECHINACEA (ANGUSTIFOLIA), HAMAMELIS VIRGINIANA, PULSATILLA (PRATENSIS), ARNICA MONTANA, CARBO VEGETABILIS, GRAPHITES, HYDROFLUORICUM ACIDUM, LYCOPODIUM CLAVATUM, NITRICUM ACIDUM, NUX VOMICA, PAEONIA OFFICINALIS, SEPIA",Vascular HP,ACTIVATED CHARCOAL|ARNICA MONTANA WHOLE|COLLINSONIA CANADENSIS ROOT|ECHINACEA ANGUSTIFOLIA WHOLE|GRAPHITE|HAMAMELIS VIRGINIANA ROOT BARK/STEM BARK|HORSE CHESTNUT|HYDROFLUORIC ACID|LYCOPODIUM CLAVATUM SPORE|NITRIC ACID|PAEONIA OFFICINALIS ROOT|PULSATILLA PRATENSIS WHOLE|SEPIA OFFICINALIS JUICE|STRYCHNOS NUX-VOMICA SEED,Unknown,HUMAN OTC DRUG
ADVANCED DEEP CEDAR AND LAVENDER 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
"ARNICA MONTANA WHOLE, COPPER, MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE, STRYCHNOS NUX-VOMICA SEED, PASSIFLORA INCARNATA TOP, CLAVICEPS PURPUREA SCLEROTIUM",Arnicare Leg Cramps,"ARNICA MONTANA|CLAVICEPS PURPUREA SCLEROTIUM|COPPER|MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE|PASSIFLORA INCARNATA TOP|STRYCHNOS NUX-VOMICA SEED",Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ISOPROTERENOL HYDROCHLORIDE,Isoproterenol hydrochloride,ISOPROTERENOL HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
ADVANCED FRESH BERGAMOT AAND SANDALWOOD 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
"AVOBENZONE 3%, HOMOSALATE 10%, OCTISALATE 5%, OCTOCRYLENE 2.7%, OXYBENZONE 6%",Bee Bald Smooth Plus Daily Moisturizer SPF 30 Sunscreen,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE|OXYBENZONE,Unknown,HUMAN OTC DRUG
BENZETHONIUM CHLORIDE PLUS DYCLONINE HYDROCHLORIDE,Liquid Bandage,BENZETHONIUM CHLORIDE|DYCLONINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
"AVOBENZONE,HOMOSALATE,OCTOCRYLENE",HAWAIIAN TROPIC,AVOBENZONE|HOMOSALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
SUNSCREEN,dermalogica dynamic skin recovery spf 50,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
NICOTINE TRANSDERMAL SYSTEM PATCH,Habitrol Step 3|Habitrol Step 2|Habitrol Step 1,NICOTINE,Unknown,HUMAN OTC DRUG
DICYCLOMINE HYDROCHLORIDE,Dicyclomine Hydrochloride,DICYCLOMINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
SALICYLIC ACID,Liquid Callus Remover,SALICYLIC ACID,Unknown,HUMAN OTC DRUG
"PETROLATUM, LIDOCAINE",Liprotek,LIDOCAINE|PETROLATUM,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
HALOPERIDOL,Haloperidol,HALOPERIDOL,Unknown,HUMAN PRESCRIPTION DRUG
ANTICOAGULANT CITRATE PHOSPHATE DEXTROSE ADENINE,CPDA-1,"ADENINE|ANHYDROUS CITRIC ACID|DEXTROSE MONOHYDRATE|SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE|TRISODIUM CITRATE DIHYDRATE",Unknown,HUMAN PRESCRIPTION DRUG
ETHYL ALCOHOL 70%,Hand sanitizer 2oz 2pk lavender,ALCOHOL,Unknown,HUMAN OTC DRUG
ETHYL ALCOHOL 70%,Hand sanitizer 2oz 2pk lavender,ALCOHOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
PANTHENOL,ReOrganic Eyelash Growth Boosting Serum,PANTHENOL,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
OMEPRAZOLE,Omeprazole,OMEPRAZOLE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
CELECOXIB,Celecoxib,CELECOXIB,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
STURGEON EXTRACT,The Zoeun Skin Total Conditioner,"STURGEON, UNSPECIFIED",Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
CARBAMAZEPINE,Carbamazepine,CARBAMAZEPINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED NONSTOP DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
USTEKINUMAB-AEKN,Ustekinumab-aekn,USTEKINUMAB-AEKN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED ADVENTURE 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ADVANCED ICED EUCALYPTUS 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,Unknown,HUMAN PRESCRIPTION DRUG
FEXOFENADINE HCL,Childrens Allergy Relief,FEXOFENADINE HYDROCHLORIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
MICONAZOLE NITRATE,Anti-fungal Powder Miconazole Nitrate,MICONAZOLE NITRATE,Unknown,HUMAN OTC DRUG
BENZALKONIUM CHLORIDE,Simplify Antibacterial Hand Wipes,BENZALKONIUM CHLORIDE,Unknown,HUMAN OTC DRUG
SUNSCREEN SPF 30,Drs. pharmacy sunscreen SPF 30,AVOBENZONE|HOMOSALATE|OCTISALATE|OCTOCRYLENE,Unknown,HUMAN OTC DRUG
ADVANCED FRESH ENGLISH ROSE 72H ANTIPERSPIRANT DEODORANT,Degree,ALUMINUM SESQUICHLOROHYDRATE,Unknown,HUMAN OTC DRUG
NAPROXEN,Naproxen,NAPROXEN,Unknown,HUMAN PRESCRIPTION DRUG
FERRUM QUARTZ,Ferrum Quartz,FERROUS SULFATE|SULFUR,Unknown,HUMAN OTC DRUG
LIDOCAINE 5%,Lidocaine 5%,LIDOCAINE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
ZINC OXIDE,Hale and Hush Broad Spectrum SPF 30 SPF 30,ZINC OXIDE,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
LITHIUM CARBONATE,Lithium Carbonate,LITHIUM CARBONATE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
OXYGEN,Oxygen,OXYGEN,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
NAPROXEN SODIUM,Flanax Pain Reliever/Fever reducer,NAPROXEN SODIUM,Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
"KALI PHOSPHORICUM, AMBRA GRISEA, CACAO, PHOSPHORICUM ACIDUM, ARNICA MONTANA, CALCAREA CARBONICA, CEREBRUM SUIS, GLANDULA SUPRARENALIS SUIS, LITHIUM CARBONICUM, ACONITUM NAPELLUS, ARGEMONE MEXICANA, ARSENICUM ALBUM, CICUTA VIROSA, HYOSCYAMUS NIGER, IGNATIA TIGRINUM, NATRUM MURIATICUM, TARENTULA HISPANICA, STRAMONIUM, BUTHUS AUSTRALIS",PTS/Stress Remedy,"ACONITUM NAPELLUS|AMBERGRIS|ANDROCTONUS AUSTRALIS VENOM|ARGEMONE MEXICANA|ARNICA MONTANA|ARSENIC TRIOXIDE|CICUTA VIROSA ROOT|COCOA|DATURA STRAMONIUM|DIBASIC POTASSIUM PHOSPHATE|HYOSCYAMUS NIGER|LILIUM LANCIFOLIUM WHOLE FLOWERING|LITHIUM CARBONATE|LYCOSA TARANTULA|OYSTER SHELL CALCIUM CARBONATE, CRUDE|PHOSPHORIC ACID|SODIUM CHLORIDE|STRYCHNOS IGNATII SEED|SUS SCROFA ADRENAL GLAND|SUS SCROFA CEREBRUM",Unknown,HUMAN OTC DRUG
Unknown,,,Unknown,
GLYBURIDE,GLYBURIDE,GLYBURIDE,Unknown,HUMAN PRESCRIPTION DRUG
Unknown,,,Unknown,
Unknown,,,Unknown,
Unknown,,,Unknown,
