drug_a,drug_b,severity,description,raw_text
OMEPRAZOLE,Combination Therapy with Clarithromycin and Amoxicillin Clinical Impact,contraindicated,"Concomitant administration of clarithromycin with other drugs can lead to serious adverse reactions, including potentially fatal arrhythmias, and are contraindicated. Amoxicillin also has drug interactions. Intervention: See Contraindications, Warnings and Precautions in prescribing information for clarithromycin",7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,Tacrolimus Clinical Impact,moderate,"Potential for increased exposure of tacrolimus, especially in transplant patients who are intermediate or poor metabolizers of CYP2C19. Intervention: Monitor tacrolimus whole blood concentrations. Dose adjustment may be needed to maintain therapeutic drug concentrations",7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,Interactions with Investigations of Neuroendocrine Tumors Clinical Impact,moderate,"Serum chromogranin A (CgA) levels increase secondary to PPI-induced decreases in gastric acidity. The increased CgA level may cause false positive results in diagnostic investigations for neuroendocrine tumors [see Warnings and Precautions (5.11) ,Clinical Pharmacology (12",7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,Intervention,unknown,Temporarily stop omeprazole treatment at least 14 days before assessing CgA levels and consider repeating the test if initial CgA levels are high. If serial tests are performed (e.g,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,Interaction with Secretin Stimulation Test Clinical Impact,unknown,"Hyper-response in gastrin secretion in response to secretin stimulation test, falsely suggesting gastrinoma. Intervention: Temporarily stop omeprazole treatment at least 14 days before assessing to allow gastrin levels to return to baseline [see Clinical Pharmacology (12.2)]",7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,False Positive Urine Tests for THC Clinical Impact,unknown,There have been reports of false positive urine screening tests for tetrahydrocannabinol (THC) in patients receiving PPIs. Intervention: An alternative confirmatory method should be considered to verify positive results. Other Clinical Impact: There have been clinical reports of interactions with other drugs metabolized via the cytochrome P450 system (e,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,Intervention,moderate,Monitor patients to determine if it is necessary to adjust the dosage of these other drugs when taken concomitantly with omeprazole. Table 4: Clinically Relevant Interactions Affecting Omeprazole When Co-Administered with Other Drugs CYP2C19 or CYP3A4 Inducers Clinical Impact: Decreased exposure of omeprazole when used concomitantly with strong inducers [see Clinical Pharmacology (12.3) ],7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,Intervention,moderate,"St. John’s Wort, rifampin: Avoid concomitant use with omeprazole [see Warnings and Precautions (5.10) ]",7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,containing products,unknown,see prescribing information for specific drugs. CYP2C19 or CYP3A4 Inhibitors Clinical Impact: Increased exposure of omeprazole [see Clinical Pharmacology (12.3) ],7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
OMEPRAZOLE,Intervention,unknown,"Voriconazole: Dose adjustment of omeprazole is not normally required. However, in patients with Zollinger-Ellison syndrome, who may require higher doses, dose adjustment may be considered. See prescribing information for voriconazole",7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with omeprazole and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further information about interactions with PPIs. Table 3: Clinically Relevant Interactions Affecting Drugs Co-Administered with Omeprazole and Interaction with Diagnostics Antiretrovirals Clinical Impact: The effect 
BUPROPION HYDROCHLORIDE,inducers,unknown,"Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose","7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
BUPROPION HYDROCHLORIDE,and can increase concentrations of,unknown,"antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e","7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
BUPROPION HYDROCHLORIDE,Digoxin,moderate,May decrease plasma digoxin levels. Monitor digoxin levels. ( 7,"7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
BUPROPION HYDROCHLORIDE,Drugs that lower seizure threshold,moderate,"Dose bupropion hydrochloride tablets with caution. ( 5.3 , 7","7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
BUPROPION HYDROCHLORIDE,MAOIs,unknown,Increased risk of hypertensive reactions can occur when used concomitantly with bupropion hydrochloride tablets. ( 7.6 ) Drug-laboratory test interactions: Bupropion hydrochloride tablets can cause false-positive urine test results for amphetamines,"7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
BUPROPION HYDROCHLORIDE,Ticlopidine and Clopidogrel,unknown,"Concomitant treatment with these drugs can increase bupropion exposure but decrease hydroxybupropion exposure. Based on clinical response, dosage adjustment of bupropion hydrochloride tablets may be necessary when co-administered with CYP2B6 inhibitors (e.g","7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
BUPROPION HYDROCHLORIDE,and Efavirenz,unknown,"Concomitant treatment with these drugs can decrease bupropion and hydroxybupropion exposure. Dosage increase of bupropion hydrochloride tablets may be necessary when co-administered with ritonavir, lopinavir, or efavirenz [see Clinical Pharmacology (12.3) ] but should not exceed the maximum recommended dose","7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
BUPROPION HYDROCHLORIDE,Phenytoin,unknown,"While not systematically studied, these drugs may induce the metabolism of bupropion and may decrease bupropion exposure [see Clinical Pharmacology (12.3) ] . If bupropion is used concomitantly with a CYP inducer, it may be necessary to increase the dose of bupropion, but the maximum recommended dose should not be exceeded","7 DRUG INTERACTIONS CYP2B6 inducers: Dose increase may be necessary if co-administered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, and phenytoin) based on clinical response, but should not exceed the maximum recommended dose. ( 7.1 ) Drugs metabolized by CYP2D6: Bupropion inhibits CYP2D6 and can increase concentrations of: antidepressants (e.g., venlafaxine, nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics "
TADALAFIL,requiring dose adjustment,unknown,Tadalafil for use as needed: no more than 10 mg every 72 hours Tadalafil for once daily use: dose not to exceed 2.5 mg CYP3A4 inducers (e.g,"7 DRUG INTERACTIONS Tadalafil can potentiate the hypotensive effects of nitrates, alpha-blockers, antihypertensives or alcohol ( 7.1 ). CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) increase tadalafil exposure ( 2.7 , 5.10 , 7.2 ) requiring dose adjustment: Tadalafil for use as needed: no more than 10 mg every 72 hours Tadalafil for once daily use: dose not to exceed 2.5 mg CYP3A4 inducers (e.g., rifampin) decrease tadalafil exposure ( 7.2 ). 7.1 Potential for Pharmacodynamic Interactions wi"
PEMETREXED DISODIUM,min,moderate,"Avoid administration of ibuprofen for 2 days before, the day of, and 2 days following administration of pemetrexed for injection [see Dosage and Administration ( 2.5 )] . Monitor patients more frequently for myelosuppression, renal, and gastrointestinal toxicity, if concomitant administration of ibuprofen cannot be avoided","7 DRUG INTERACTIONS Ibuprofen increased risk of pemetrexed for injection toxicity in patients with mild to moderate renal impairment. Modify the ibuprofen dosage as recommended for patients with a creatinine clearance between 45 mL/min and 79 mL/min. ( 2.5 , 5.6 , 7 ) Effects of Ibuprofen on Pemetrexed Ibuprofen increases exposure (AUC) of pemetrexed [see Clinical Pharmacology ( 12.3 )] . In patients with creatinine clearance between 45 mL/min and 79 mL/min: Avoid administration of ibuprofen for"
"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",and caffeine may enhance the effects of,unknown,"other narcotic analgesics, alcohol, general anesthetics, tranquilizers such as chlordiazepoxide, sedative-hypnotics, or other CNS depressants, causing increased CNS depression","Drug Interactions The CNS effects of butalbital may be enhanced by monoamine oxidase (MAO) inhibitors. Butalbital, acetaminophen, and caffeine may enhance the effects of: other narcotic analgesics, alcohol, general anesthetics, tranquilizers such as chlordiazepoxide, sedative-hypnotics, or other CNS depressants, causing increased CNS depression."
Unknown,Diazepam,unknown,"May potentiate orthostatic hypotension. ( 7.1 , 7","7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*. ( 7.1"
Unknown,Alcohol,unknown,May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine,"7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*. ( 7.1"
Unknown,Fluvoxamine,unknown,May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*,"7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*. ( 7.1"
Unknown,CNS Acting Drugs,moderate,Caution should be used when taken in combination with other centrally acting drugs and alcohol. ( 7.2 ) Antihypertensive Agents: Enhanced antihypertensive effect,"7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*. ( 7.1"
Unknown,Levodopa and Dopamine Agonists,unknown,"May antagonize levodopa/dopamine agonists. ( 7.2 ) Other Concomitant Drug Therapy: When using olanzapine in combination with lithium or valproate, refer to the Drug Interactions sections of the package insert for those products","7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*. ( 7.1"
Unknown,Fluvoxamine,unknown,"Fluvoxamine, a CYP1A2 inhibitor, decreases the clearance of olanzapine. This results in a mean increase in olanzapine C max following fluvoxamine of 54% in female nonsmokers and 77% in male smokers. The mean increase in olanzapine AUC is 52% and 108%, respectively","7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*. ( 7.1"
Unknown,Fluoxetine,unknown,"Fluoxetine (60 mg single dose or 60 mg daily dose for 8 days) causes a small (mean 16%) increase in the maximum concentration of olanzapine and a small (mean 16%) decrease in olanzapine clearance. The magnitude of the impact of this factor is small in comparison to the overall variability between individuals, and therefore dose modification is not routinely recommended. When using olanzapine and fluoxetine in combination, also refer to the Drug Interactions section of the package insert for Symbyax*","7 DRUG INTERACTIONS The risks of using olanzapine in combination with other drugs have not been extensively evaluated in systematic studies. Diazepam: May potentiate orthostatic hypotension. ( 7.1 , 7.2 ) Alcohol: May potentiate orthostatic hypotension. ( 7.1 ) Carbamazepine: Increased clearance of olanzapine. ( 7.1 ) Fluvoxamine: May increase olanzapine levels. ( 7.1 ) Olanzapine and Fluoxetine in Combination: Also refer to the Drug Interactions section of the package insert for Symbyax*. ( 7.1"
Unknown,DRUG INTERACTIONS Triamterene and amiloride,contraindicated,Concomitant use is contraindicated (7.1) Renin-angiotensin-aldosterone inhibitors: Monitor for hyperkalemia (7.2) Nonsteroidal anti-inflammatory drugs: Monitor for hyperkalemia (7,7 DRUG INTERACTIONS Triamterene and amiloride: Concomitant use is contraindicated (7.1) Renin-angiotensin-aldosterone inhibitors: Monitor for hyperkalemia (7.2) Nonsteroidal anti-inflammatory drugs: Monitor for hyperkalemia (7.3) 7.1 Triamterene or amiloride Use with triamterene or amiloride can produce severe hyperkalemia. Concomitant use is contraindicated [see Contraindications (4)] . 7.2 Renin-angiotensin-aldosterone Inhibitors Drugs that inhibit the renin-angiotensin-aldosterone system (RAA
METHYLPHENIDATE HYDROCHLORIDE,DRUG INTERACTIONS Antihypertensive drugs,moderate,Monitor blood pressure and heart. Adjust dosage of antihypertensive drug as needed. ( 7 ) Avoid use of methylphenidate hydrochloride extended-release capsules on the day of surgery if halogenated anesthetics will be used,7 DRUG INTERACTIONS Antihypertensive drugs: Monitor blood pressure and heart. Adjust dosage of antihypertensive drug as needed. ( 7 ) Avoid use of methylphenidate hydrochloride extended-release capsules on the day of surgery if halogenated anesthetics will be used. ( 7 ) 7.1 Clinically Important Interactions with Methylphenidate Hydrochloride Extended-Release Capsules Table 3 presents clinically important drug interactions with methylphenidate hydrochloride extended-release capsules. Table 3: Dr
Unknown,Nelfinavir,moderate,"Close monitoring for known adverse reactions of azithromycin, such as liver enzyme abnormalities and hearing impairment, is warranted. ( 7.1 ) • Warfarin: Use with azithromycin may increase coagulation times; monitor prothrombin time","7 DRUG INTERACTIONS • Nelfinavir: Close monitoring for known adverse reactions of azithromycin, such as liver enzyme abnormalities and hearing impairment, is warranted. ( 7.1 ) • Warfarin: Use with azithromycin may increase coagulation times; monitor prothrombin time. ( 7.2 ) 7.1 Nelfinavir Co-administration of nelfinavir at steady-state with a single oral dose of azithromycin resulted in increased azithromycin serum concentrations. Although a dose adjustment of azithromycin is not recommended w"
FAMOTIDINE,DRUG INTERACTIONS Drugs Dependent on Gastric pH for Absorption,major,Systemic exposure of the concomitant drug may be significantly reduced leading to loss of efficacy. See full prescribing information for a list of interacting drugs. ( 7,"7 DRUG INTERACTIONS Drugs Dependent on Gastric pH for Absorption: Systemic exposure of the concomitant drug may be significantly reduced leading to loss of efficacy. See full prescribing information for a list of interacting drugs. ( 7.1 ) T izanidine (CYP1A2) Substrate: Potential for substantial increases in blood concentrations of tizanidine resulting in hypotension, bradycardia or excessive drowsiness; avoid concomitant use, if possible. ( 7.2 ) 7.1 Drugs Dependent on Gastric pH for Absorptio"
FAMOTIDINE,Substrate,unknown,"Potential for substantial increases in blood concentrations of tizanidine resulting in hypotension, bradycardia or excessive drowsiness; avoid concomitant use, if possible. ( 7.2 ) 7","7 DRUG INTERACTIONS Drugs Dependent on Gastric pH for Absorption: Systemic exposure of the concomitant drug may be significantly reduced leading to loss of efficacy. See full prescribing information for a list of interacting drugs. ( 7.1 ) T izanidine (CYP1A2) Substrate: Potential for substantial increases in blood concentrations of tizanidine resulting in hypotension, bradycardia or excessive drowsiness; avoid concomitant use, if possible. ( 7.2 ) 7.1 Drugs Dependent on Gastric pH for Absorptio"
QUETIAPINE FUMARATE,inhibitors,unknown,"Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2","7 DRUG INTERACTIONS • Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) • Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7-14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) • Discontinuation of strong CYP3A4 inducers: Re"
QUETIAPINE FUMARATE,inducers,unknown,"Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7-14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St","7 DRUG INTERACTIONS • Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) • Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7-14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) • Discontinuation of strong CYP3A4 inducers: Re"
QUETIAPINE FUMARATE,inducers,unknown,"Reduce quetiapine dose by 5 fold within 7-14 days of discontinuation of CYP3A4 inducers ( 2.6 , 7.1 , 12","7 DRUG INTERACTIONS • Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) • Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7-14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) • Discontinuation of strong CYP3A4 inducers: Re"
QUETIAPINE FUMARATE,inhibitors,major,"Coadministration of ketoconazole, a potent inhibitor of cytochrome CYP3A4, resulted in significant increase in quetiapine exposure. The dose of quetiapine should be reduced to one sixth of the original dose if co-administered with a strong CYP3A4 inhibitor [see Dosage and Administration (2.5) and Clinical Pharmacology (12","7 DRUG INTERACTIONS • Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) • Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7-14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) • Discontinuation of strong CYP3A4 inducers: Re"
QUETIAPINE FUMARATE,inducers,unknown,"Coadministration of quetiapine and phenytoin, a CYP3A4 inducer increased the mean oral clearance of quetiapine by 5- fold. Increased doses of quetiapine up to 5 fold may be required to maintain control of symptoms of schizophrenia in patients receiving quetiapine and phenytoin, or other known potent CYP3A4 inducers [see Dosage and Administration (2.6) and Clinical Pharmacology (12","7 DRUG INTERACTIONS • Concomitant use of strong CYP3A4 inhibitors: Reduce quetiapine dose to one sixth when coadministered with strong CYP3A4 inhibitors (e.g., ketoconazole, ritonavir) ( 2.5 , 7.1 , 12.3 ) • Concomitant use of strong CYP3A4 inducers: Increase quetiapine dose up to 5 fold when used in combination with a chronic treatment (more than 7-14 days) of potent CYP3A4 inducers (e.g., phenytoin, rifampin, St. John’s wort) ( 2.6 , 7.1 , 12.3 ) • Discontinuation of strong CYP3A4 inducers: Re"
Unknown,Patients on Diuretic Therapy,unknown,"Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diuretic, initiate therapy with lisinopril at a dose of 5 mg daily, and provide close medical supervision after the initial dose until blood pressure has stabilized (see WARNINGS , and DOSAGE AND ADMINISTRATION )","Drug Interactions Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diureti"
Unknown,Antidiabetics,moderate,"Epidemiological studies have suggested that concomitant administration of ACE inhibitors and antidiabetic medicines (insulins, oral hypoglycemic agents) may cause an increased blood-glucose-lowering effect with risk of hypoglycemia. This phenomenon appeared to be more likely to occur during the first weeks of combined treatment and in patients with renal impairment. In diabetic patients treated with oral antidiabetic agents or insulin, glycemic control should be closely monitored for hypoglycemia, especially during the first month of treatment with an ACE inhibitor","Drug Interactions Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diureti"
Unknown,Other Agents,major,Lisinopril has been used concomitantly with nitrates and/or digoxin without evidence of clinically significant adverse interactions. This included post myocardial infarction patients who were receiving intravenous or transdermal nitroglycerin. No clinically important pharmacokinetic interactions occurred when lisinopril was used concomitantly with propranolol or hydrochlorothiazide,"Drug Interactions Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diureti"
Unknown,Agents Increasing Serum Potassium,unknown,Lisinopril attenuates potassium loss caused by thiazide-type diuretics. Use of lisinopril with potassium-sparing diuretics ( e.g,"Drug Interactions Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasing the salt intake prior to initiation of treatment with lisinopril. If it is necessary to continue the diureti"
